PBAT : Size=1440, Index=answers
    Key  : Lower : Value                : Upper : Fixed : Stale : Domain
     135 :  -5.6 : 0.010028141471340464 :   5.6 : False : False :  Reals
     136 :  -5.6 : 0.010028710974306045 :   5.6 : False : False :  Reals
     137 :  -5.6 :    0.010029280601754 :   5.6 : False : False :  Reals
     138 :  -5.6 : 0.010029850353722777 :   5.6 : False : False :  Reals
     139 :  -5.6 : 0.010030420230250818 :   5.6 : False : False :  Reals
     140 :  -5.6 : 0.010030990231376578 :   5.6 : False : False :  Reals
     141 :  -5.6 : 0.010031560357138564 :   5.6 : False : False :  Reals
     142 :  -5.6 :  0.01003213060757525 :   5.6 : False : False :  Reals
     143 :  -5.6 : 0.010032700982725157 :   5.6 : False : False :  Reals
     144 :  -5.6 : 0.010033271482626812 :   5.6 : False : False :  Reals
     145 :  -5.6 : 0.020605912303898296 :   5.6 : False : False :  Reals
     146 :  -5.6 : 0.048073176013010595 :   5.6 : False : False :  Reals
     147 :  -5.6 :  0.04808770923888552 :   5.6 : False : False :  Reals
     148 :  -5.6 : 0.048102259106251835 :   5.6 : False : False :  Reals
     149 :  -5.6 : 0.048116825642514516 :   5.6 : False : False :  Reals
     150 :  -5.6 :  0.07857427851848597 :   5.6 : False : False :  Reals
     151 :  -5.6 :  0.07861641210187008 :   5.6 : False : False :  Reals
     152 :  -5.6 :   0.0786586307253623 :   5.6 : False : False :  Reals
     153 :  -5.6 :  0.07870093464034662 :   5.6 : False : False :  Reals
     154 :  -5.6 :  0.07874332409921654 :   5.6 : False : False :  Reals
     155 :  -5.6 :  0.07878579935538033 :   5.6 : False : False :  Reals
     156 :  -5.6 :  0.07882836066326607 :   5.6 : False : False :  Reals
     157 :  -5.6 :  0.07887100827832673 :   5.6 : False : False :  Reals
     158 :  -5.6 :   0.0789137424570454 :   5.6 : False : False :  Reals
     159 :  -5.6 :  0.07172312425470832 :   5.6 : False : False :  Reals
     160 :  -5.6 :  0.07899946634092499 :   5.6 : False : False :  Reals
     161 :  -5.6 :  0.07904245654755114 :   5.6 : False : False :  Reals
     162 :  -5.6 :  0.07908553433740126 :   5.6 : False : False :  Reals
     163 :  -5.6 :  0.08928941298748289 :   5.6 : False : False :  Reals
     164 :  -5.6 :  0.06887148437253054 :   5.6 : False : False :  Reals
     165 :  -5.6 :  0.06890345382100484 :   5.6 : False : False :  Reals
     166 :  -5.6 :  0.06893547875051592 :   5.6 : False : False :  Reals
     167 :  -5.6 :  0.06107563221643226 :   5.6 : False : False :  Reals
     168 :  -5.6 : 0.061100339457809155 :   5.6 : False : False :  Reals
     169 :  -5.6 :  0.04841310103651706 :   5.6 : False : False :  Reals
     170 :  -5.6 :  0.04842815502067326 :   5.6 : False : False :  Reals
     171 :  -5.6 :  0.06117466972537049 :   5.6 : False : False :  Reals
     172 :  -5.6 :  0.02577873189295343 :   5.6 : False : False :  Reals
     173 :  -5.6 :  0.02578276801920278 :   5.6 : False : False :  Reals
     174 :  -5.6 :  0.02578680652470151 :   5.6 : False : False :  Reals
     175 :  -5.6 : 0.010051266674378868 :   5.6 : False : False :  Reals
     176 :  -5.6 : 0.010051856631743227 :   5.6 : False : False :  Reals
     177 :  -5.6 :  0.01005244672027736 :   5.6 : False : False :  Reals
     178 :  -5.6 : 0.033225389427939685 :   5.6 : False : False :  Reals
     179 :  -5.6 :  0.03323222660859792 :   5.6 : False : False :  Reals
     180 :  -5.6 :  0.03323906906927303 :   5.6 : False : False :  Reals
     181 :  -5.6 : 0.033245916815812605 :   5.6 : False : False :  Reals
     182 :  -5.6 :  0.04838703064121118 :   5.6 : False : False :  Reals
     183 :  -5.6 :  0.06126841197786206 :   5.6 : False : False :  Reals
     184 :  -5.6 :   0.0750714181577386 :   5.6 : False : False :  Reals
     185 :  -5.6 :   0.0751101790287499 :   5.6 : False : False :  Reals
     186 :  -5.6 :  0.07514901426317562 :   5.6 : False : False :  Reals
     187 :  -5.6 :  0.07518792406982776 :   5.6 : False : False :  Reals
     188 :  -5.6 :  0.07522690865831373 :   5.6 : False : False :  Reals
     189 :  -5.6 :  0.08615993424031691 :   5.6 : False : False :  Reals
     190 :  -5.6 :  0.07530511023113817 :   5.6 : False : False :  Reals
     191 :  -5.6 :  0.07534432766070547 :   5.6 : False : False :  Reals
     192 :  -5.6 :  0.07538362074066005 :   5.6 : False : False :  Reals
     193 :  -5.6 :  0.07542298968473513 :   5.6 : False : False :  Reals
     194 :  -5.6 :  0.07546243470748275 :   5.6 : False : False :  Reals
     195 :  -5.6 :  0.07550195602427781 :   5.6 : False : False :  Reals
     196 :  -5.6 :  0.07362575794719106 :   5.6 : False : False :  Reals
     197 :  -5.6 :  0.07366327878216959 :   5.6 : False : False :  Reals
     198 :  -5.6 :  0.07370087023635402 :   5.6 : False : False :  Reals
     199 :  -5.6 :  0.07373853250435332 :   5.6 : False : False :  Reals
     200 :  -5.6 :  0.07377626578150358 :   5.6 : False : False :  Reals
     201 :  -5.6 :  0.07381407026387145 :   5.6 : False : False :  Reals
     202 :  -5.6 :  0.07385194614825752 :   5.6 : False : False :  Reals
     203 :  -5.6 :  0.07388989363219979 :   5.6 : False : False :  Reals
     204 :  -5.6 :  0.07392791291397713 :   5.6 : False : False :  Reals
     205 :  -5.6 :    0.063914997124389 :   5.6 : False : False :  Reals
     206 :  -5.6 :  0.06394284854250441 :   5.6 : False : False :  Reals
     207 :  -5.6 :  0.06397074462791126 :   5.6 : False : False :  Reals
     208 :  -5.6 :  0.06399868548510404 :   5.6 : False : False :  Reals
     209 :  -5.6 :  0.06402667121890893 :   5.6 : False : False :  Reals
     210 :  -5.6 :  0.06405470193448497 :   5.6 : False : False :  Reals
     211 :  -5.6 :  0.06408277773732551 :   5.6 : False : False :  Reals
     212 :  -5.6 :  0.06411089873325947 :   5.6 : False : False :  Reals
     213 :  -5.6 :  0.06413906502845262 :   5.6 : False : False :  Reals
     214 :  -5.6 :  0.06416727672940908 :   5.6 : False : False :  Reals
     215 :  -5.6 :  0.07236890662649774 :   5.6 : False : False :  Reals
     216 :  -5.6 : 0.059981195068439075 :   5.6 : False : False :  Reals
     217 :  -5.6 :  0.06000569309595916 :   5.6 : False : False :  Reals
     218 :  -5.6 :  0.06003022779179895 :   5.6 : False : False :  Reals
     219 :  -5.6 :  0.06005479923596172 :   5.6 : False : False :  Reals
     220 :  -5.6 : 0.060079407508687586 :   5.6 : False : False :  Reals
     221 :  -5.6 :  0.06010405269045442 :   5.6 : False : False :  Reals
     222 :  -5.6 :  0.06012873486197869 :   5.6 : False : False :  Reals
     223 :  -5.6 :  0.07266360864727033 :   5.6 : False : False :  Reals
     224 :  -5.6 :  0.07270072760625187 :   5.6 : False : False :  Reals
     225 :  -5.6 :  0.07273791576730484 :   5.6 : False : False :  Reals
     226 :  -5.6 :  0.07277517331959601 :   5.6 : False : False :  Reals
     227 :  -5.6 :  0.07281250045299267 :   5.6 : False : False :  Reals
     228 :  -5.6 :  0.05918957610977463 :   5.6 : False : False :  Reals
     229 :  -5.6 :  0.05921359675633693 :   5.6 : False : False :  Reals
     230 :  -5.6 :   0.0592376529444701 :   5.6 : False : False :  Reals
     231 :  -5.6 :  0.05926174475089469 :   5.6 : False : False :  Reals
     232 :  -5.6 :  0.05928587225255595 :   5.6 : False : False :  Reals
     233 :  -5.6 :  0.05931003552662472 :   5.6 : False : False :  Reals
     234 :  -5.6 : 0.059334234650498155 :   5.6 : False : False :  Reals
     235 :  -5.6 :   0.0593584697018006 :   5.6 : False : False :  Reals
     236 :  -5.6 :  0.05938274075838443 :   5.6 : False : False :  Reals
     237 :  -5.6 :  0.06800874815554186 :   5.6 : False : False :  Reals
     238 :  -5.6 :  0.09811512038455072 :   5.6 : False : False :  Reals
     239 :  -5.6 :  0.10508732892542634 :   5.6 : False : False :  Reals
     240 :  -5.6 :  0.04953308704048759 :   5.6 : False : False :  Reals
     241 :  -5.6 :  0.04954972412119401 :   5.6 : False : False :  Reals
     242 :  -5.6 :  0.04956638149559287 :   5.6 : False : False :  Reals
     243 :  -5.6 :  0.04958305919972097 :   5.6 : False : False :  Reals
     244 :  -5.6 :  0.04959975726970207 :   5.6 : False : False :  Reals
     245 :  -5.6 :  0.04961647574174718 :   5.6 : False : False :  Reals
     246 :  -5.6 :  0.07497284497528113 :   5.6 : False : False :  Reals
     247 :  -5.6 :   0.0750131018857083 :   5.6 : False : False :  Reals
     248 :  -5.6 :   0.0750534369205767 :   5.6 : False : False :  Reals
     249 :  -5.6 :  0.07509385030269364 :   5.6 : False : False :  Reals
     250 :  -5.6 :  0.07513434225572678 :   5.6 : False : False :  Reals
     251 :  -5.6 :  0.07517491300420816 :   5.6 : False : False :  Reals
     252 :  -5.6 :  0.07521556277353852 :   5.6 : False : False :  Reals
     253 :  -5.6 :  0.07525629178999142 :   5.6 : False : False :  Reals
     254 :  -5.6 :  0.07529710028071758 :   5.6 : False : False :  Reals
     255 :  -5.6 :  0.07533798847374899 :   5.6 : False : False :  Reals
     256 :  -5.6 :  0.07537895659800341 :   5.6 : False : False :  Reals
     257 :  -5.6 :  0.07542000488328851 :   5.6 : False : False :  Reals
     258 :  -5.6 :  0.07546113356030629 :   5.6 : False : False :  Reals
     259 :  -5.6 :  0.07550234286065748 :   5.6 : False : False :  Reals
     260 :  -5.6 :  0.04027251324607028 :   5.6 : False : False :  Reals
     261 :  -5.6 :  0.04028349368079999 :   5.6 : False : False :  Reals
     262 :  -5.6 :  0.04029448490699052 :   5.6 : False : False :  Reals
     263 :  -5.6 :  0.04030548694007829 :   5.6 : False : False :  Reals
     264 :  -5.6 : 0.010106473862817832 :   5.6 : False : False :  Reals
     265 :  -5.6 : 0.010107127184564756 :   5.6 : False : False :  Reals
     266 :  -5.6 : 0.010107780659473915 :   5.6 : False : False :  Reals
     267 :  -5.6 :  0.01010843428759706 :   5.6 : False : False :  Reals
     268 :  -5.6 : 0.010109088068986296 :   5.6 : False : False :  Reals
     269 :  -5.6 : 0.010109742003693559 :   5.6 : False : False :  Reals
     270 :  -5.6 : 0.010110396091770828 :   5.6 : False : False :  Reals
     271 :  -5.6 : 0.010111050333270167 :   5.6 : False : False :  Reals
     272 :  -5.6 :  0.01011170472824359 :   5.6 : False : False :  Reals
     273 :  -5.6 :  0.01011235927674318 :   5.6 : False : False :  Reals
     274 :  -5.6 :  0.01011301397882105 :   5.6 : False : False :  Reals
     275 :  -5.6 : 0.010113668834529308 :   5.6 : False : False :  Reals
     276 :  -5.6 :  0.01011432384392011 :   5.6 : False : False :  Reals
     277 :  -5.6 :  0.01011497900704569 :   5.6 : False : False :  Reals
     278 :  -5.6 : 0.010115634323958123 :   5.6 : False : False :  Reals
     279 :  -5.6 : 0.010116289794709622 :   5.6 : False : False :  Reals
     280 :  -5.6 : 0.010116945419352584 :   5.6 : False : False :  Reals
     281 :  -5.6 : 0.010117601197939176 :   5.6 : False : False :  Reals
     282 :  -5.6 : 0.010118257130521766 :   5.6 : False : False :  Reals
     283 :  -5.6 :  0.01011891321715253 :   5.6 : False : False :  Reals
     284 :  -5.6 : 0.010119569457883927 :   5.6 : False : False :  Reals
     285 :  -5.6 : 0.010120225852768302 :   5.6 : False : False :  Reals
     286 :  -5.6 : 0.010120882401858124 :   5.6 : False : False :  Reals
     287 :  -5.6 : 0.010121539105205583 :   5.6 : False : False :  Reals
     288 :  -5.6 :  0.01012219596286337 :   5.6 : False : False :  Reals
     289 :  -5.6 : 0.010122852974883785 :   5.6 : False : False :  Reals
     290 :  -5.6 : 0.010123510141319396 :   5.6 : False : False :  Reals
     291 :  -5.6 : 0.010124167462222713 :   5.6 : False : False :  Reals
     292 :  -5.6 : 0.010124824937646264 :   5.6 : False : False :  Reals
     293 :  -5.6 :  0.01012548256764259 :   5.6 : False : False :  Reals
     294 :  -5.6 : 0.010126140352264341 :   5.6 : False : False :  Reals
     295 :  -5.6 : 0.010126798291564088 :   5.6 : False : False :  Reals
     296 :  -5.6 : 0.010127456385594438 :   5.6 : False : False :  Reals
     297 :  -5.6 : 0.010128114634408115 :   5.6 : False : False :  Reals
     298 :  -5.6 : 0.010128773038057752 :   5.6 : False : False :  Reals
     299 :  -5.6 : 0.010129431596596117 :   5.6 : False : False :  Reals
     300 :  -5.6 : 0.010130090310075909 :   5.6 : False : False :  Reals
     301 :  -5.6 : 0.010130749178549895 :   5.6 : False : False :  Reals
     302 :  -5.6 : 0.010131408202070868 :   5.6 : False : False :  Reals
     303 :  -5.6 : 0.010132067380691607 :   5.6 : False : False :  Reals
     304 :  -5.6 : 0.040761141918798115 :   5.6 : False : False :  Reals
     305 :  -5.6 :  0.04077236756980627 :   5.6 : False : False :  Reals
     306 :  -5.6 :  0.04078360433344143 :   5.6 : False : False :  Reals
     307 :  -5.6 :  0.04079485222571704 :   5.6 : False : False :  Reals
     308 :  -5.6 : 0.040806111262677164 :   5.6 : False : False :  Reals
     309 :  -5.6 :  0.04081738146039774 :   5.6 : False : False :  Reals
     310 :  -5.6 :  0.04082866283498611 :   5.6 : False : False :  Reals
     311 :  -5.6 :  0.04083995540258135 :   5.6 : False : False :  Reals
     312 :  -5.6 : 0.040851259179354615 :   5.6 : False : False :  Reals
     313 :  -5.6 :  0.04086257418150888 :   5.6 : False : False :  Reals
     314 :  -5.6 :  0.04087390042527856 :   5.6 : False : False :  Reals
     315 :  -5.6 :  0.04088523792693091 :   5.6 : False : False :  Reals
     316 :  -5.6 :  0.04089658670276447 :   5.6 : False : False :  Reals
     317 :  -5.6 :  0.04090794676911071 :   5.6 : False : False :  Reals
     318 :  -5.6 : 0.040919318142332954 :   5.6 : False : False :  Reals
     319 :  -5.6 : 0.040930700838827015 :   5.6 : False : False :  Reals
